stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
21277,2011-06,B1_last_month,2.223900,product,12,B,False
21278,2011-06,B1_last_month,14.826000,product,12,B,False
21279,2011-06,B1_last_month,10.378200,product,12,B,False
21280,2011-06,B1_last_month,5.930400,product,12,B,False
21281,2011-06,B1_last_month,8.895600,product,12,B,False
21284,2011-06,B1_last_month,31.875900,product,12,B,False
21285,2011-06,B1_last_month,33.358500,product,12,B,False
21286,2011-06,B1_last_month,54.114900,product,12,B,False
21287,2011-06,B1_last_month,91.921200,product,12,B,False
21288,2011-06,B1_last_month,36.323700,product,12,B,False
21289,2011-06,B1_last_month,34.099800,product,12,B,False
21291,2011-06,B1_last_month,65.975700,product,12,B,False
21292,2011-06,B1_last_month,100.075500,product,12,B,False
21293,2011-06,B1_last_month,12.602100,product,12,C,False
21294,2011-06,B1_last_month,48.925800,product,12,B,False
21306,2011-06,B1_last_month,1.482600,product,12,C,False
21307,2011-06,B1_last_month,3.706500,product,12,C,False
21310,2011-06,B1_last_month,0.000000,product,9,C,True
21311,2011-06,B1_last_month,6.671700,product,12,C,False
